year,state,population,unemployment rates,population_rate
2023,Massachusetts,7001399,3.341666667,0.278216447
2015,Michigan,9922576,5.425,
2016,Michigan,9928300,5.008333333,0.057686633
2017,Michigan,9962311,4.575,0.3425662
2018,Michigan,9995915,4.158333333,0.337311293
2019,Michigan,9986857,4.05,-0.090617017
2021,Michigan,10050811,5.766666667,0.640381654
2022,Michigan,10034118,4.133333333,-0.1660861
2023,Michigan,10037261,3.891666667,0.031323132
2015,Minnesota,5489594,3.791666667,
2016,Minnesota,5519952,3.875,0.553009931
2017,Minnesota,5576606,3.483333333,1.026349504
2018,Minnesota,5611179,3.025,0.619964903
2019,Minnesota,5639632,3.275,0.507077033
2021,Minnesota,5707390,3.7,1.201461372
2022,Minnesota,5717184,2.533333333,0.171602081
2023,Minnesota,5737915,2.825,0.362608585
2015,Mississippi,2992333,6.483333333,
2016,Mississippi,2988726,5.966666667,-0.120541397
2017,Mississippi,2984100,5.233333333,-0.15478167
2018,Mississippi,2986530,4.958333333,0.081431587
2019,Mississippi,2976149,5.5,-0.347594031
2021,Mississippi,2949965,5.458333333,-0.879794661
2022,Mississippi,2940057,3.783333333,-0.335868392
2023,Mississippi,2939690,3.2,-0.012482751
2015,Missouri,6083672,5.108333333,
2016,Missouri,6093000,4.55,0.15332845
2017,Missouri,6113532,3.741666667,0.336976859
2018,Missouri,6126452,3.241666667,0.211334463
2019,Missouri,6137428,3.25,0.179157529
2021,Missouri,6168187,4.141666667,0.501170849
2022,Missouri,6177957,2.6,0.158393382
2023,Missouri,6196156,3.058333333,0.294579584
2015,Montana,1032949,4.291666667,
2016,Montana,1042520,4.325,0.926570431
2017,Montana,1050493,4.091666667,0.764781491
2018,Montana,1062305,3.75,1.124424437
2019,Montana,1068778,3.5,0.60933536
2021,Montana,1104271,3.4,3.320895453
2022,Montana,1122867,2.683333333,1.684006915
2023,Montana,1132812,2.858333333,0.885679248
2015,Nebraska,1896190,2.983333333,
2016,Nebraska,1907116,3.066666667,0.57620808
2018,Nebraska,1929268,2.925,1.161544447
2019,Nebraska,1934408,3.125,0.266422291
2021,Nebraska,1963692,2.583333333,1.513848164
2022,Nebraska,1967923,2.141666667,0.215461488
2023,Nebraska,1978379,2.266666667,0.531321602
2015,Nevada,2890845,6.85,
2016,Nevada,2940058,5.808333333,1.702374219
2017,Nevada,2998039,4.983333333,1.972103952
2018,Nevada,3034392,4.383333333,1.212559276
2019,Nevada,3080156,4.15,1.508176926
2021,Nevada,3143991,6.833333333,2.072459966
2022,Nevada,3177772,5.2,1.074462363
2023,Nevada,3194176,5.141666667,0.516210729
2015,New Hampshire,1330608,3.391666667,
2016,New Hampshire,1334795,2.883333333,0.314668182
2017,New Hampshire,1342795,2.808333333,0.59934297
2018,New Hampshire,1356458,2.625,1.017504533
2019,New Hampshire,1359711,2.575,0.239815755
2021,New Hampshire,1388992,3.408333333,2.153472319
2022,New Hampshire,1395231,2.275,0.449174653
2023,New Hampshire,1402054,2.166666667,0.489022965
2015,New Jersey,8958013,5.7,
2016,New Jersey,8944469,4.941666667,-0.151194244
2017,New Jersey,9005644,4.533333333,0.683942222
2018,New Jersey,8908520,4.008333333,-1.078479229
2019,New Jersey,8882190,3.458333333,-0.295559756
2021,New Jersey,9267130,6.708333333,4.333841091
2022,New Jersey,9261699,3.866666667,-0.058604983
2023,New Jersey,9290841,4.416666667,0.314650692
2015,New Mexico,2085109,6.6,
2016,New Mexico,2081015,6.75,-0.196344652
2017,New Mexico,2088070,6.041666667,0.339017258
2018,New Mexico,2095428,4.925,0.352382822
2019,New Mexico,2096829,4.958333333,0.066859849
2021,New Mexico,2115877,7.066666667,0.908419332
2022,New Mexico,2113344,4.058333333,-0.119713953
2023,New Mexico,2114371,3.75,0.048595969
2015,New York,19795791,5.233333333,
2016,New York,19745289,4.875,-0.255114837
2017,New York,19849399,4.633333333,0.52726501
2018,New York,19542209,4.1,-1.547603532
2019,New York,19453561,3.858333333,-0.453623232
2021,New York,19835913,7.091666667,1.965460205
2022,New York,19677151,4.325,-0.80037657
2023,New York,19571216,4.208333333,-0.538365539
2015,North Carolina,10042802,5.658333333,
2016,North Carolina,10146788,5.1,1.03542816
2017,North Carolina,10273419,4.525,1.24799099
2018,North Carolina,10383620,3.991666667,1.072680867
2019,North Carolina,10488084,3.883333333,1.006046061
2021,North Carolina,10551162,4.883333333,0.601425389
2022,North Carolina,10698973,3.683333333,1.400897835
2023,North Carolina,10835491,3.458333333,1.27599163
2015,North Dakota,756928,2.783333333,
2016,North Dakota,757953,3.1,0.135415786
2017,North Dakota,755393,2.608333333,-0.337751813
2018,North Dakota,760077,2.408333333,0.620074584
2021,North Dakota,774948,3,1.956512301
2022,North Dakota,779261,2,0.556553472
2023,North Dakota,783926,1.883333333,0.5986441
2015,Ohio,11613423,4.95,
2016,Ohio,11614373,5.075,0.008180189
2017,Ohio,11658609,4.966666667,0.380872906
2018,Ohio,11689442,4.5,0.264465512
2019,Ohio,11689100,4.175,-0.002925717
2021,Ohio,11780017,5.158333333,0.777792987
2022,Ohio,11756058,3.991666667,-0.203386803
2023,Ohio,11785935,3.525,0.254141312
2015,Oklahoma,3911338,4.291666667,
2016,Oklahoma,3923561,4.658333333,0.312501758
2017,Oklahoma,3930864,4.033333333,0.186131935
2018,Oklahoma,3943079,3.291666667,0.310745933
2019,Oklahoma,3956971,3.125,0.352313509
2021,Oklahoma,3986639,4.033333333,0.749765414
2022,Oklahoma,4019800,3.041666667,0.831803431
2023,Oklahoma,4053824,3.216666667,0.846410269
2015,Oregon,4028977,5.466666667,
2016,Oregon,4093465,4.75,1.600604819
2017,Oregon,4142776,4.058333333,1.204627376
2018,Oregon,4190713,4.041666667,1.157122664
2019,Oregon,4217737,3.725,0.644854467
2021,Oregon,4246155,5.15,0.673773637
2022,Oregon,4240137,3.916666667,-0.141728222
2023,Oregon,4233358,3.708333333,-0.15987691
2015,Pennsylvania,12802503,5.391666667,
2016,Pennsylvania,12784227,5.341666667,-0.142753335
2017,Pennsylvania,12805537,4.975,0.166689781
2018,Pennsylvania,12807060,4.416666667,0.011893293
2019,Pennsylvania,12801989,4.3,-0.039595348
2021,Pennsylvania,12964056,5.925,1.26595172
2022,Pennsylvania,12972008,4.05,0.061338828
2023,Pennsylvania,12961683,3.408333333,-0.079594462
2016,Rhode Island,1056426,5.241666667,
2017,Rhode Island,1059639,4.508333333,0.304138671
2018,Rhode Island,1057315,4.033333333,-0.219319976
2021,Rhode Island,1095610,5.516666667,3.621910216
2022,Rhode Island,1093734,3.166666667,-0.171228813
2023,Rhode Island,1095962,2.941666667,0.203705837
2015,South Carolina,4896146,5.9,
2016,South Carolina,4961119,4.916666667,1.327023336
2017,South Carolina,5024369,4.2,1.274913986
2018,South Carolina,5084127,3.375,1.189363281
2019,South Carolina,5148714,2.766666667,1.270365591
2021,South Carolina,5190705,3.941666667,0.815562876
2022,South Carolina,5282634,3.208333333,1.771031103
2023,South Carolina,5373555,2.95,1.721130027
2015,South Dakota,858469,3.05,
2016,South Dakota,865454,3.016666667,0.813657802
2017,South Dakota,869666,3.05,0.486680979
2018,South Dakota,882235,2.791666667,1.445267493
2019,South Dakota,884659,2.766666667,0.274756726
2021,South Dakota,895376,2.616666667,1.211427228
2022,South Dakota,909824,1.991666667,1.613623774
2023,South Dakota,919318,2,1.043498523
2015,Tennessee,6600299,5.566666667,
2016,Tennessee,6651194,4.758333333,0.77110143
2017,Tennessee,6715984,3.75,0.974110814
2018,Tennessee,6770010,3.5,0.804439081
2019,Tennessee,6829174,3.333333333,0.873913037
2021,Tennessee,6975218,4.466666667,2.138530956
2022,Tennessee,7051339,3.383333333,1.091306394
2023,Tennessee,7126489,3.291666667,1.065755029
2015,Texas,27469114,4.483333333,
2016,Texas,27862596,4.65,1.432452463
2017,Texas,28304596,4.341666667,1.586356131
2018,Texas,28701845,3.9,1.403478785
2019,Texas,28995881,3.525,1.024449822
2021,Texas,29527941,5.641666667,1.834950281
2022,Texas,30029572,3.941666667,1.698835012
2023,Texas,30503301,3.95,1.577541631
2015,Utah,2995919,3.508333333,
2016,Utah,3051217,3.35,1.845777539
2017,Utah,3101833,3.166666667,1.658879064
2018,Utah,3161105,2.916666667,1.910870121
2019,Utah,3205958,2.541666667,1.418902567
2021,Utah,3337975,2.758333333,4.117864301
2022,Utah,3380800,2.358333333,1.282963473
2023,Utah,3417734,2.641666667,1.092463322
2015,Vermont,626042,3.533333333,
2016,Vermont,624594,3.125,-0.231294386
2017,Vermont,623657,3.008333333,-0.150017451
2018,Vermont,626299,2.483333333,0.423630297
2019,Vermont,623989,2.066666667,-0.368833417
2021,Vermont,645570,3.583333333,3.458554558
2022,Vermont,647064,2.325,0.231423393
2023,Vermont,647464,2.008333333,0.061817687
2015,Virginia,8382993,4.366666667,
2016,Virginia,8411808,4,0.343731648
2017,Virginia,8470020,3.666666667,0.692027207
2018,Virginia,8517685,3.008333333,0.562749557
2019,Virginia,8535519,2.758333333,0.209376139
2021,Virginia,8642274,3.85,1.250714807
2022,Virginia,8683619,2.758333333,0.478404179
2023,Virginia,8715698,2.85,0.369419709
2015,Washington,7170351,5.433333333,
2016,Washington,7288000,5.225,1.640770445
2017,Washington,7405743,4.641666667,1.615573546
2018,Washington,7535591,4.425,1.753341967
2019,Washington,7614893,4.191666667,1.052366032
2021,Washington,7738692,5.241666667,1.625748385
2022,Washington,7785786,4.066666667,0.608552453
2023,Washington,7812880,4.075,0.347993125
2015,West Virginia,1844128,6.583333333,
2016,West Virginia,1831102,6.091666667,-0.706350102
2017,West Virginia,1815857,5.208333333,-0.832558754
2018,West Virginia,1805832,5.166666667,-0.552080918
2019,West Virginia,1792147,4.925,-0.757822433
2021,West Virginia,1782959,5.15,-0.512681158
2022,West Virginia,1775156,3.875,-0.437643266
2023,West Virginia,1770071,3.908333333,-0.286453698
2015,Wisconsin,5771337,4.425,
2016,Wisconsin,5778709,3.908333333,0.1277347
2017,Wisconsin,5795483,3.258333333,0.290272447
2018,Wisconsin,5813568,2.975,0.31205337
2019,Wisconsin,5822434,3.208333333,0.152505312
2021,Wisconsin,5895908,3.858333333,1.261912114
2022,Wisconsin,5892539,2.891666667,-0.057141326
2023,Wisconsin,5910955,3.05,0.312530812
2015,Wyoming,586107,4.208333333,
2016,Wyoming,585501,5.333333333,-0.10339409
2017,Wyoming,579315,4.325,-1.056531073
2018,Wyoming,577737,4.058333333,-0.272390668
2019,Wyoming,578759,3.708333333,0.1768971
2021,Wyoming,578803,4.541666667,0.007602474
2022,Wyoming,581381,3.416666667,0.445401976
2023,Wyoming,584057,2.916666667,0.46028336
